ext_categories,ext_install_count,verified,total_vulners,high_vulners,medium_vulners,low_vulners,repo_stars,repo_forks,repo_languages,ext_rating_category,ext_version_category
Programming Languages,177844528,True,0,0,0,0,4461,1247,typescript,4 and above,2 and above
Programming Languages,177844528,True,0,0,0,0,4461,1247,python,4 and above,2 and above
Programming Languages,177844528,True,0,0,0,0,4461,1247,javascript,4 and above,2 and above
Programming Languages,177844528,True,0,0,0,0,4461,1247,jupyter notebook,4 and above,2 and above
Programming Languages,177844528,True,0,0,0,0,4461,1247,shell,4 and above,2 and above
Programming Languages,177844528,True,0,0,0,0,4461,1247,dockerfile,4 and above,2 and above
Debuggers,177844528,True,0,0,0,0,4461,1247,typescript,4 and above,2 and above
Debuggers,177844528,True,0,0,0,0,4461,1247,python,4 and above,2 and above
Debuggers,177844528,True,0,0,0,0,4461,1247,javascript,4 and above,2 and above
Debuggers,177844528,True,0,0,0,0,4461,1247,jupyter notebook,4 and above,2 and above
Debuggers,177844528,True,0,0,0,0,4461,1247,shell,4 and above,2 and above
Debuggers,177844528,True,0,0,0,0,4461,1247,dockerfile,4 and above,2 and above
Data Science,177844528,True,0,0,0,0,4461,1247,typescript,4 and above,2 and above
Data Science,177844528,True,0,0,0,0,4461,1247,python,4 and above,2 and above
Data Science,177844528,True,0,0,0,0,4461,1247,javascript,4 and above,2 and above
Data Science,177844528,True,0,0,0,0,4461,1247,jupyter notebook,4 and above,2 and above
Data Science,177844528,True,0,0,0,0,4461,1247,shell,4 and above,2 and above
Data Science,177844528,True,0,0,0,0,4461,1247,dockerfile,4 and above,2 and above
Machine Learning,177844528,True,0,0,0,0,4461,1247,typescript,4 and above,2 and above
Machine Learning,177844528,True,0,0,0,0,4461,1247,python,4 and above,2 and above
Machine Learning,177844528,True,0,0,0,0,4461,1247,javascript,4 and above,2 and above
Machine Learning,177844528,True,0,0,0,0,4461,1247,jupyter notebook,4 and above,2 and above
Machine Learning,177844528,True,0,0,0,0,4461,1247,shell,4 and above,2 and above
Machine Learning,177844528,True,0,0,0,0,4461,1247,dockerfile,4 and above,2 and above
Programming Languages,146473811,True,0,0,0,0,1882,856,python,1 - 3,2 and above
Programming Languages,146473811,True,0,0,0,0,1882,856,jupyter notebook,1 - 3,2 and above
Extension Packs,93931981,True,0,0,0,0,1401,337,typescript,1 - 3,2 and above
Extension Packs,93931981,True,0,0,0,0,1401,337,python,1 - 3,2 and above
Extension Packs,93931981,True,0,0,0,0,1401,337,jupyter notebook,1 - 3,2 and above
Extension Packs,93931981,True,0,0,0,0,1401,337,javascript,1 - 3,2 and above
Extension Packs,93931981,True,0,0,0,0,1401,337,shell,1 - 3,2 and above
Extension Packs,93931981,True,0,0,0,0,1401,337,css,1 - 3,2 and above
Extension Packs,93931981,True,0,0,0,0,1401,337,other,1 - 3,2 and above
Data Science,93931981,True,0,0,0,0,1401,337,typescript,1 - 3,2 and above
Data Science,93931981,True,0,0,0,0,1401,337,python,1 - 3,2 and above
Data Science,93931981,True,0,0,0,0,1401,337,jupyter notebook,1 - 3,2 and above
Data Science,93931981,True,0,0,0,0,1401,337,javascript,1 - 3,2 and above
Data Science,93931981,True,0,0,0,0,1401,337,shell,1 - 3,2 and above
Data Science,93931981,True,0,0,0,0,1401,337,css,1 - 3,2 and above
Data Science,93931981,True,0,0,0,0,1401,337,other,1 - 3,2 and above
Machine Learning,93931981,True,0,0,0,0,1401,337,typescript,1 - 3,2 and above
Machine Learning,93931981,True,0,0,0,0,1401,337,python,1 - 3,2 and above
Machine Learning,93931981,True,0,0,0,0,1401,337,jupyter notebook,1 - 3,2 and above
Machine Learning,93931981,True,0,0,0,0,1401,337,javascript,1 - 3,2 and above
Machine Learning,93931981,True,0,0,0,0,1401,337,shell,1 - 3,2 and above
Machine Learning,93931981,True,0,0,0,0,1401,337,css,1 - 3,2 and above
Machine Learning,93931981,True,0,0,0,0,1401,337,other,1 - 3,2 and above
Visualization,93931981,True,0,0,0,0,1401,337,typescript,1 - 3,2 and above
Visualization,93931981,True,0,0,0,0,1401,337,python,1 - 3,2 and above
Visualization,93931981,True,0,0,0,0,1401,337,jupyter notebook,1 - 3,2 and above
Visualization,93931981,True,0,0,0,0,1401,337,javascript,1 - 3,2 and above
