ext_name,ext_publisher,verified,repository
HTML Snippets,Mohamed Abusaid,False,
GitHub Copilot,GitHub,True,
Auto Import,steoates,False,
GitHub Codespaces,GitHub,True,
Quokka.js,Wallaby.js,True,
Monokai Pro,monokai,True,
Rainbow Brackets,2gua,False,
jQuery Code Snippets,Don Jayamanne,False,
"Blackbox AI Code Generation, Code Chat, Code Search",BLACKBOX AI,False,
JSON Tools,Erik Lynd,False,
HTML Play,bianxianyang,False,
TypeScript Importer,pmneo,False,
C/C++ Debugging with Flags,Utsav Munendra,False,
Askia QeXML Generator,Askia,False,
pip-packages,etmoffat,False,
Eva Theme,fisheva,False,
C# Dev Kit,Microsoft,True,
"Auto Import - ES6, TS, JSX, TSX",Sergey Korenuk,False,
IntelliCode for C# Dev Kit,Microsoft,True,
open-in-browser,coderfee,False,
Inkling,Microsoft,True,
Figma for VS Code,Figma,True,
Python-autopep8,himanoa,False,
Slim,Siang Lim,False,
Oracle Developer Tools for VS Code (SQL and PLSQL),Oracle Corporation,False,
Theme - Oceanic Next,Sergii N,False,
ejs Snippets,TaodongWu,False,
zenkaku,mosapride,False,
Console Ninja,Wallaby.js,True,
LaTeX,Mathematic Inc,False,
quickstart,lolkush,False,
Azure Data Lake Tools,Microsoft,True,
Java Server Pages (JSP),Patrik Thorsson,False,
"Codeium: AI Coding Autocomplete and Chat for Python, Javascript, Typescript, Java, Go, and more",Codeium,True,
Save Typing,Michel Betancourt,False,
vscode-runner,HarryHopkinson,False,
view-in-browser,Koppt Ho,False,
AutoFileName,JerryHong,False,
ShaderlabVSCode(Free),AMLOVEY,True,
AngularDoc for Visual Studio Code,AngularDoc.io,False,
Nodejs Snippets,piyushvscode,False,
PHP Symbols,lin yang,False,
Angular-cli,Seger de Kort,False,
gitignore,michelemelluso,False,
Wallaby.js,Wallaby.js,True,
WordPress Snippet,TungVN,False,
Gruvbox Themes,Tom Philbin,False,
Liquid Languages Support,Neil Ding,False,
Beauty,yhpnoraa,False,
SQL Beautify,SenSource Inc,False,
PDF Viewer,Mathematic Inc,False,
Super One Dark Theme,Sean Sassenrath,False,
carbon-now-sh,Eric Adamski,False,
Super Sharp (C# extensions),craigthomas,False,
PropertyList,zhouronghui,False,
PDF Preview,Analytic Signal Limited,True,
Laravel 5 Snippets,Sachit Tandukar,False,
ionic2-vscode,Justin Willis,False,
LEGO® MINDSTORMS® EV3 MicroPython,LEGO® Education,False,
HTML/CSS/JavaScript Snippets,Eno Yao,False,
Learn Vim,vintharas,False,
Ariake Dark,wart,False,
VBScript,Darfka,False,
GitHub Classroom,GitHub,True,
Cython,Thomas Walther,False,
.ejs,Qassim Farid,False,
Hackers Haze Theme,Nuuf,False,
Hyper Term Theme,HasseNasse,False,
PHP-Autocomplete,bschulte,False,
C/C++ Makefile Project,Adriano Markovic,False,
Unique Lines,bibhasdn,False,
GeeCode Python,GeeCode Team,False,
Code Translate,w88975,False,
Azure Application Insights,Microsoft,True,
Msg Language Support,ajshort,False,
luaide,kangping,False,
unity3d-pack,Molosnic Dumitru,False,
Workbench Themes,Particle,True,
UMLet,The UMLet Team,False,
pip installer,Peter Steiner,False,
Tailwind Snippets,ZS Software Studio,False,
Auto Import - ES6 & TS,Martin Oppitz,False,
Diff Tool,jinsihou,False,
OmniPascal - Open Preview,Wosi,False,
snippets,GoBystrok ReactJS,False,
Unity,Microsoft,True,
cpp-compile,Tomasz Chojnacki,False,
pdf,Daniel,False,
learn-linting,Microsoft,True,
anaconda terminal,zhphhh,False,
Verdandi Theme,be5invis,False,
"AIO Compiler for C, C++ & Java",AztechCorps,False,
theme,hassanoof,False,
protobuf,kangping,False,
learn-metadata,Microsoft,True,
PlantUML Syntax,Quido Hoekman,False,
Love2D Support,Pixelbyte Studios,False,
nRF DeviceTree,Nordic Semiconductor,True,
Octave,Toasty Technologies,False,
LottieFiles for VSCode,LottieFiles,True,
ExtendScript Debugger,Adobe,False,
nRF Kconfig,Nordic Semiconductor,True,
PHP Snippets,VSCSnippets,False,
Unity Dev Pack,fabriciohod,False,
nRF Connect for VS Code,Nordic Semiconductor,True,
MPEG-4 Preview,Analytic Signal Limited,True,
code-python-isort,freakypie,False,
AB HTML Formatter,Anton Burov,False,
vscode-elm-jump,Joe Andaverde,False,
Swig(.tpl),zhangciwu,False,
GitHub Copilot Voice,GitHub,True,
Rust and Friends,Nyxiative,False,
Code Navigation,vikas,False,
Perl,cfgweb,False,
Monkey C,Garmin,False,
Python,shiro,False,
Thrift,cduruk,False,
Workbench Core,Particle,True,
SQL Indentator,brenosolutions,False,
next.js,foxundermoon,False,
JS Snippet,Gajesh Panigrahi,False,
p5js Snippets,Acidic,False,
AutoComplate shell,truman,False,
Workbench Snippets,Particle,True,
Dark Chrome DevTools,Ivan Zusko,False,
Workbench,Particle,True,
CodeSandbox,CodeSandbox,True,
file-tree-generator,Shinotatwu-DS,False,
HTML Preview,Analytic Signal Limited,True,
Unused CSS Classes for JavaScript/Angular/React,Roger Oliveira,False,
PHP Snippets VS Code,Heber Almeida,False,
vscode-smoketest-check,Michel Kaporin,False,
ninja-build,Suraj Barkale,False,
SAP CDS Language Support,SAP SE,True,
px2rem,Saberization,False,
Verilog_Testbench,Truecrab,False,
Horla Light Theme,Horla,False,
Prettify json-html-css,while,False,
Denigma AI,Denigma,False,
Node.js Assertion Snippets,Jay Morrow,False,
Cyberpunk 2077 rebuild,Carlos18mz,False,
ci-snippets,secato,False,
JDK Setter,Andreh,False,
Gherkin Indent,Aravind Kumar,False,
cc-nodejs,Arek Zajac,False,
php-live-server,Teodoro VIllanueva,False,
ASP.NET Core Scaffolding,Mohammed Yehia,False,
Visual Studio Dark Theme,Adrien,False,
ApexSQL Database Power Tools for VS Code,ApexSQL by Quest,False,
JSON Schema Validator,tberman,False,
Snowflake,Snowflake,True,
Relative Line Numbers,extr0py,False,
The Netwide Assembler (NASM),Right,False,
bulma,Maxime de Mijolla,False,
Super ChatGPT,wenyikun,False,
Symfony Dark Theme,ntb,False,
Brackets Dark,ullissescastro,False,
Rocket MV BASIC,Rocket Software Inc.,True,
prototxt,Dmitry Korobchenko,False,
vscode-refresh-html,Bajdzis,False,
postgresql,JPTarquino,False,
Black,Tamim Mirza,False,
CodeRunner 2 like Theme,bijan,False,
Rails Go to Spec,sporto,False,
Copilot for VS Code,Metatype,False,
Invoke (Python Task Executor),David Chancogne,False,
AJAX Query,Balasubramanian,False,
