iter	Passed	Remaining
0	123	123672
1	208	103891
2	318	105848
3	578	144122
4	699	139291
5	813	134834
6	912	129508
7	965	119713
8	1007	110961
9	1043	103275
10	1082	97303
11	1121	92358
12	1154	87642
13	1195	84168
14	1241	81555
15	1318	81085
16	1373	79437
17	1418	77368
18	1457	75241
19	1686	82615
20	1828	85257
21	2042	90793
22	2175	92403
23	2242	91212
24	2364	92196
25	2476	92787
26	2537	91452
27	2578	89525
28	2622	87813
29	2667	86254
30	2709	84686
31	2749	83168
32	2787	81678
33	2848	80917
34	2885	79567
35	2929	78434
36	2965	77174
37	3004	76065
38	3047	75083
39	3087	74107
40	3130	73221
41	3169	72296
42	3206	71364
43	3250	70624
44	3287	69761
45	3336	69203
46	3375	68445
47	3415	67741
48	3455	67068
49	3495	66405
50	3533	65752
51	3576	65195
52	3613	64563
53	3658	64085
54	3699	63567
55	3735	62966
56	3775	62463
57	3813	61938
58	3853	61459
59	3888	60919
60	3918	60321
61	3951	59775
62	3983	59239
63	4012	58683
64	4051	58281
65	4119	58290
66	4164	57994
67	4211	57721
68	4263	57524
69	4345	57731
70	4400	57581
71	4453	57406
72	4501	57159
73	4546	56896
74	4579	56480
75	4612	56075
76	4651	55753
77	4693	55484
78	4741	55278
79	4783	55013
80	4815	54638
81	4850	54302
82	4886	53990
83	4927	53736
84	4974	53545
85	5020	53358
86	5065	53163
87	5101	52870
88	5132	52539
89	5162	52202
90	5200	51948
91	5231	51636
92	5263	51332
93	5305	51132
94	5343	50900
95	5370	50573
96	5403	50304
97	5431	49994
98	5467	49755
99	5497	49481
100	5529	49216
101	5561	48961
102	5590	48689
103	5631	48517
104	5683	48447
105	5731	48339
106	5768	48140
107	5803	47930
108	5840	47744
109	5892	47673
110	5921	47428
111	5971	47341
112	6016	47225
113	6048	47008
114	6081	46804
115	6113	46586
116	6146	46386
117	6185	46230
118	6213	46003
119	6249	45832
120	6291	45704
121	6331	45568
122	6374	45453
123	6411	45292
124	6445	45117
125	6475	44915
126	6517	44798
127	6552	44640
128	6584	44460
129	6616	44279
130	6651	44125
131	6691	44002
132	6728	43863
133	6768	43740
134	6847	43871
135	6948	44144
136	6996	44073
137	7035	43944
138	7079	43852
139	7133	43820
140	7176	43720
141	7213	43583
142	7252	43465
143	7290	43340
144	7378	43508
145	7420	43407
146	7465	43322
147	7547	43447
148	7676	43846
149	7821	44323
150	7917	44514
151	8053	44931
152	8144	45085
153	8206	45082
154	8285	45168
155	8346	45157
156	8406	45135
157	8440	44979
158	8475	44830
159	8503	44643
160	8539	44498
161	8568	44323
162	8600	44165
163	8629	43989
164	8659	43821
165	8699	43706
166	8734	43567
167	8771	43439
168	8805	43298
169	8840	43160
170	8880	43052
171	8915	42916
172	8961	42839
173	8996	42709
174	9040	42621
175	9081	42520
176	9116	42391
177	9155	42279
178	9197	42183
179	9234	42069
180	9269	41944
181	9322	41899
182	9366	41817
183	9400	41687
184	9431	41547
185	9461	41407
186	9491	41263
187	9531	41169
188	9560	41026
189	9588	40878
190	9622	40756
191	9655	40633
192	9686	40503
193	9713	40357
194	9739	40207
195	9780	40117
196	9823	40041
197	9852	39906
198	9883	39781
199	9930	39722
200	9982	39682
201	10012	39554
202	10041	39422
203	10065	39276
204	10094	39147
205	10124	39025
206	10153	38898
207	10185	38782
208	10216	38664
209	10245	38541
210	10283	38454
211	10323	38370
212	10352	38249
213	10402	38206
214	10447	38147
215	10494	38089
216	10545	38050
217	10604	38040
218	10643	37956
219	10681	37869
220	10724	37801
221	10752	37683
222	10781	37567
223	10810	37451
224	10840	37340
225	10875	37244
226	10917	37175
227	10980	37178
228	11035	37154
229	11078	37087
230	11108	36981
231	11144	36892
232	11175	36786
233	11216	36716
234	11267	36679
235	11328	36673
236	11367	36597
237	11415	36548
238	11446	36447
239	11477	36345
240	11506	36238
241	11532	36123
242	11563	36022
243	11601	35944
244	11634	35853
245	11662	35746
246	11691	35643
247	11721	35541
248	11751	35442
249	11780	35341
250	11809	35241
251	11841	35148
252	11870	35049
253	11898	34947
254	11927	34846
255	11956	34747
256	11986	34652
257	12021	34572
258	12062	34510
259	12116	34485
260	12169	34456
261	12214	34405
262	12263	34365
263	12308	34315
264	12340	34226
265	12392	34194
266	12459	34204
267	12498	34136
268	12546	34094
269	12609	34091
270	12643	34011
271	12673	33919
272	12698	33816
273	12735	33743
274	12792	33725
275	12860	33734
276	12892	33651
277	12924	33566
278	12953	33475
279	12995	33416
280	13049	33389
281	13100	33354
282	13140	33293
283	13190	33254
284	13228	33188
285	13264	33115
286	13311	33069
287	13363	33038
288	13437	33059
289	13467	32973
290	13498	32888
291	13528	32803
292	13577	32762
293	13637	32748
294	13683	32700
295	13733	32664
296	13783	32624
297	13816	32546
298	13845	32459
299	13887	32403
300	13941	32375
301	13980	32313
302	14020	32252
303	14050	32168
304	14085	32096
305	14128	32042
306	14178	32005
307	14220	31950
308	14247	31860
309	14275	31774
310	14314	31712
311	14358	31661
312	14405	31619
313	14456	31584
314	14488	31506
315	14516	31421
316	14546	31341
317	14574	31258
318	14603	31175
319	14640	31110
320	14673	31038
321	14703	30959
322	14746	30907
323	14796	30871
324	14837	30815
325	14878	30760
326	14928	30723
327	14959	30648
328	14987	30567
329	15018	30492
330	15075	30469
331	15127	30437
332	15180	30405
333	15215	30339
334	15245	30263
335	15284	30205
336	15327	30154
337	15359	30082
338	15388	30004
339	15421	29935
340	15456	29870
341	15492	29807
342	15525	29737
343	15561	29674
344	15596	29611
345	15625	29535
346	15654	29458
347	15679	29375
348	15707	29299
349	15734	29221
350	15761	29143
351	15791	29071
352	15820	28996
353	15845	28916
354	15877	28847
355	15909	28779
356	15938	28707
357	15969	28638
358	15995	28559
359	16025	28490
360	16052	28414
361	16083	28345
362	16146	28334
363	16182	28274
364	16212	28205
365	16242	28135
